sensor11|Thu Mar 09 2017 21:52:26 GMT+0100 (CET)|1489092746609| wakeUp
server  |Thu Mar 09 2017 21:52:41 GMT+0100 (CET)|1489092761118| Sensor11StartSending
server  |Thu Mar 09 2017 21:52:41 GMT+0100 (CET)|1489092761120| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:52:41 GMT+0100 (CET)|1489092761127| got data from server
sensor11|Thu Mar 09 2017 21:52:41 GMT+0100 (CET)|1489092761135| start-s11
sensor11|Thu Mar 09 2017 21:52:41 GMT+0100 (CET)|1489092761136| got start command
sensor11|Thu Mar 09 2017 21:52:41 GMT+0100 (CET)|1489092761140| reset BME280
sensor11|Thu Mar 09 2017 21:52:41 GMT+0100 (CET)|1489092761151| got data from BME280
sensor11|Thu Mar 09 2017 21:52:41 GMT+0100 (CET)|1489092761151| 2395
sensor11|Thu Mar 09 2017 21:52:41 GMT+0100 (CET)|1489092761156| 4858
sensor11|Thu Mar 09 2017 21:52:41 GMT+0100 (CET)|1489092761157| 335
server  |Thu Mar 09 2017 21:52:45 GMT+0100 (CET)|1489092765221| Sensor11SendOk
server  |Thu Mar 09 2017 21:52:45 GMT+0100 (CET)|1489092765664| 2395|4858|335|323|11
sensor11|Thu Mar 09 2017 21:52:45 GMT+0100 (CET)|1489092765664| Sending data to server
sensor11|Thu Mar 09 2017 21:52:47 GMT+0100 (CET)|1489092767205| SendOk
sensor11|Thu Mar 09 2017 21:52:47 GMT+0100 (CET)|1489092767206| 
sensor11|Thu Mar 09 2017 21:53:01 GMT+0100 (CET)|1489092781228| wakeUp
server  |Thu Mar 09 2017 21:53:15 GMT+0100 (CET)|1489092795801| Sensor11StartSending
server  |Thu Mar 09 2017 21:53:15 GMT+0100 (CET)|1489092795804| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:53:15 GMT+0100 (CET)|1489092795811| got data from server
sensor11|Thu Mar 09 2017 21:53:15 GMT+0100 (CET)|1489092795819| start-s11
sensor11|Thu Mar 09 2017 21:53:15 GMT+0100 (CET)|1489092795819| got start command
sensor11|Thu Mar 09 2017 21:53:15 GMT+0100 (CET)|1489092795824| reset BME280
sensor11|Thu Mar 09 2017 21:53:15 GMT+0100 (CET)|1489092795834| got data from BME280
sensor11|Thu Mar 09 2017 21:53:15 GMT+0100 (CET)|1489092795834| 2402
sensor11|Thu Mar 09 2017 21:53:15 GMT+0100 (CET)|1489092795840| 4864
